qid,question_text,methodA_id,methodB_id,methodA_text,methodB_text,scoreA,scoreB,pair_label,best_methods_json,num_best_methods,is_tied_best
0,What is the current home arena of the NHL team Chris Summers plays for?,dalk,hippo,"Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: dalk
Method profile: retrieval-based QA method
Task type: find the home arena of a team associated with a specific player
Answer type: location
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=true; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: entity linking for athlete name; multi-hop relation chaining (player to team to venue); temporal filtering for current affiliation; sports knowledge retrieval","Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: hippo
Method profile: multi-step retrieval and reasoning method
Task type: find the home arena of a team associated with a specific player
Answer type: location
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=true; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: entity linking for athlete name; multi-hop relation chaining (player to team to venue); temporal filtering for current affiliation; sports knowledge retrieval",0.3529411765,1.0,0,"[""hippo""]",1,False
0,What is the current home arena of the NHL team Chris Summers plays for?,hippo,gr,"Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: hippo
Method profile: multi-step retrieval and reasoning method
Task type: find the home arena of a team associated with a specific player
Answer type: location
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=true; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: entity linking for athlete name; multi-hop relation chaining (player to team to venue); temporal filtering for current affiliation; sports knowledge retrieval","Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: gr
Method profile: graph reasoning oriented method
Task type: find the home arena of a team associated with a specific player
Answer type: location
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=true; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: entity linking for athlete name; multi-hop relation chaining (player to team to venue); temporal filtering for current affiliation; sports knowledge retrieval",1.0,0.0869565217,1,"[""hippo""]",1,False
0,What is the current home arena of the NHL team Chris Summers plays for?,hippo,lgraph,"Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: hippo
Method profile: multi-step retrieval and reasoning method
Task type: find the home arena of a team associated with a specific player
Answer type: location
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=true; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: entity linking for athlete name; multi-hop relation chaining (player to team to venue); temporal filtering for current affiliation; sports knowledge retrieval","Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: lgraph
Method profile: graph-centric reasoning and linking method
Task type: find the home arena of a team associated with a specific player
Answer type: location
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=true; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: entity linking for athlete name; multi-hop relation chaining (player to team to venue); temporal filtering for current affiliation; sports knowledge retrieval",1.0,0.0,1,"[""hippo""]",1,False
0,What is the current home arena of the NHL team Chris Summers plays for?,hippo,light,"Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: hippo
Method profile: multi-step retrieval and reasoning method
Task type: find the home arena of a team associated with a specific player
Answer type: location
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=true; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: entity linking for athlete name; multi-hop relation chaining (player to team to venue); temporal filtering for current affiliation; sports knowledge retrieval","Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: light
Method profile: lightweight retrieval and reasoning method
Task type: find the home arena of a team associated with a specific player
Answer type: location
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=true; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: entity linking for athlete name; multi-hop relation chaining (player to team to venue); temporal filtering for current affiliation; sports knowledge retrieval",1.0,0.1,1,"[""hippo""]",1,False
0,What is the current home arena of the NHL team Chris Summers plays for?,qagn,hippo,"Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: qagn
Method profile: question answering with graph/navigation signals
Task type: find the home arena of a team associated with a specific player
Answer type: location
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=true; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: entity linking for athlete name; multi-hop relation chaining (player to team to venue); temporal filtering for current affiliation; sports knowledge retrieval","Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: hippo
Method profile: multi-step retrieval and reasoning method
Task type: find the home arena of a team associated with a specific player
Answer type: location
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=true; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: entity linking for athlete name; multi-hop relation chaining (player to team to venue); temporal filtering for current affiliation; sports knowledge retrieval",0.3529411765,1.0,0,"[""hippo""]",1,False
1,One of the members of Dru Hill is nicknamed after which cartoon character?,gr,dalk,"Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: gr
Method profile: graph reasoning oriented method
Task type: identify a cartoon character linked to a music group member's nickname
Answer type: other
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=false; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: music group member retrieval; nickname or alias lookup; pop culture reference matching; multi-hop entity relation tracing","Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: dalk
Method profile: retrieval-based QA method
Task type: identify a cartoon character linked to a music group member's nickname
Answer type: other
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=false; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: music group member retrieval; nickname or alias lookup; pop culture reference matching; multi-hop entity relation tracing",0.0,1.0,0,"[""dalk""]",1,False
1,One of the members of Dru Hill is nicknamed after which cartoon character?,hippo,dalk,"Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: hippo
Method profile: multi-step retrieval and reasoning method
Task type: identify a cartoon character linked to a music group member's nickname
Answer type: other
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=false; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: music group member retrieval; nickname or alias lookup; pop culture reference matching; multi-hop entity relation tracing","Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: dalk
Method profile: retrieval-based QA method
Task type: identify a cartoon character linked to a music group member's nickname
Answer type: other
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=false; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: music group member retrieval; nickname or alias lookup; pop culture reference matching; multi-hop entity relation tracing",0.4444444444,1.0,0,"[""dalk""]",1,False
1,One of the members of Dru Hill is nicknamed after which cartoon character?,dalk,lgraph,"Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: dalk
Method profile: retrieval-based QA method
Task type: identify a cartoon character linked to a music group member's nickname
Answer type: other
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=false; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: music group member retrieval; nickname or alias lookup; pop culture reference matching; multi-hop entity relation tracing","Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: lgraph
Method profile: graph-centric reasoning and linking method
Task type: identify a cartoon character linked to a music group member's nickname
Answer type: other
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=false; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: music group member retrieval; nickname or alias lookup; pop culture reference matching; multi-hop entity relation tracing",1.0,0.5,1,"[""dalk""]",1,False
1,One of the members of Dru Hill is nicknamed after which cartoon character?,dalk,light,"Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: dalk
Method profile: retrieval-based QA method
Task type: identify a cartoon character linked to a music group member's nickname
Answer type: other
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=false; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: music group member retrieval; nickname or alias lookup; pop culture reference matching; multi-hop entity relation tracing","Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: light
Method profile: lightweight retrieval and reasoning method
Task type: identify a cartoon character linked to a music group member's nickname
Answer type: other
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=false; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: music group member retrieval; nickname or alias lookup; pop culture reference matching; multi-hop entity relation tracing",1.0,0.5,1,"[""dalk""]",1,False
1,One of the members of Dru Hill is nicknamed after which cartoon character?,dalk,qagn,"Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: dalk
Method profile: retrieval-based QA method
Task type: identify a cartoon character linked to a music group member's nickname
Answer type: other
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=false; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: music group member retrieval; nickname or alias lookup; pop culture reference matching; multi-hop entity relation tracing","Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: qagn
Method profile: question answering with graph/navigation signals
Task type: identify a cartoon character linked to a music group member's nickname
Answer type: other
Reasoning profile: hop_count=2; multi_hop=true; comparison=false; temporal=false; aggregation=false; entity_linking=true; relation_chaining=true; disambiguation=true
Method selection signals: music group member retrieval; nickname or alias lookup; pop culture reference matching; multi-hop entity relation tracing",1.0,0.5,1,"[""dalk""]",1,False
