qid,question_text
0,Which network subsidiary broadcasts the weeknight evening news show in part named after the network that aired Crowd Rules?
1,What is the size ranking of the continent where Palmer Land is found?
2,When did the drinking age become 19 in the state where The Great Outdoors takes place?
3,How old do you have to be to drink with a parent in the state where Lars and the Real Girl takes place?
4,In what time period did the Muslim conquest of the place where the Sahara is located on a map take place?
5,What is the work of civil defence in the richest country in Africa?
6,Who plays the artiste for Stay for Awhile in the movie I Can Only Imagine?
7,How many Americans live in the country where AS Momekano is based?
8,What county contains the city where Emil Marschalk von Ostheim was born?
9,The mosaic in the church in the location of Hagia Sophia is known as what?
10,In which county is the city where Biedman is located?
11,Who was the performer of Get Into You in Home and Away?
12,What happened in country having Al-Serkal during the cold war?
13,Who wrote the national anthem of the country that released Wekande Walauwa?
14,In which county was Scratch born?
15,What is the city where Giovanni Buonconsiglio was born an instance of?
16,What part of the country that includes bevercotes did the pilgrims come from?
17,Who was the piano player in the series of which He That Believeth in Me is an episode?
18,How did the main subject of State of the Union address rank Switzerland's economy?
19,Who came up with the name for the fried chicken chain associated with the state where Cayce is located?
20,What is the current official currency in the country where Darla Pacheco was born?
21,When was Liang Ji's country divided into spheres of influence?
22,Who is the 2018 minister of Mundaje's state?
23,"In 2018, who scored the most goals in the competition that the FIFA Confederations Cups is considered a warm-up for?"
24,Who is the current prime minister of the country Gourie Cave is located?
25,What body water is the owner of Auestadion located or next to?
26,what is the population of williston in the state containing Morton County?
27,When was John Staples Harriott's employer established in India?
28,Who plays the creator of Sunflowers in Doctor Who?
29,Who created the show Fabian Brandner is a character on?
30,Where is the place Glamara is part of located in the UK?
31,What is the climate like in the city where Sea Nymph left for sailing?
32,What county shares a border with the county where Wethersfield Township is located?
33,In which district of the country where Malagawatch is located can LaHave be found?
34,What region is the city where Robert Tuttle Morris died located?
35,The Haystacks are seen in what UK county?
36,The singer of River wrote Thinking Out Loud for who?
37,What is the highest point in the state where WPMR-LP is located?
38,What percent of the population is Christian in the West African country whose capital is Abuja?
39,When did the birthplace of Ganju Lama become an Indian state?
40,What's the David Bowie song co-written by the writer of God?
41,Who is the Minister of Defense in the country where Kariba Dam is located?
42,In which direction would you travel to reach Southampton from the city connected to it by rail?
43,what song did the performer who sings Let the River Run with Eminem write for Justin Bieber?
44,"When did Anne Fitzalan-Howard, Duchess of the state Kenninghall is located, die?"
45,"As of the 2017 election, who was in charge of the country where the village of Dragovita is located?"
46,How many times have the Dodgers been beat by the sports team Craig Dahl was a member of?
47,what is the current official currency in Raymond Gause's country of citizenship?
48,Where is the rainforest located in the U.S. territory where the Tibes Indigenous Ceremonial Center is found?
49,Where did the Dakota tribe live in the state whose capitol is St. Paul?
50,Of what church is the Diocese of the birthplace of Meehan Bonnar?
51,When did the author of A Philosophical View of Reform die?
52,What is the hockey club in the city where the Holyrood estate is located?
53,What continent is the country encompassing Luahoko located?
54,What day did Balloon Kid's publisher release the new systems?
55,What is the continental limit of the continent where Jacobsen Head is located?
56,"When did the country that continued to manage its own religious and regional political affairs while under Mongol rule, become part of Qing China?"
57,What is the average income in the county containing the community of Vincent Landing?
58,Who is the leader of opposition in Welton Irie's country of citizenship?
59,When did the iPhone 6s Plus of the SK8 developer come out?
60,Who is the White Nights director's sibling?
61,What municipality is the city CFLT-FM is located a part of?
62,"In 1823, what emperor was overthrown in the country that the US bought land from in the Gadsden Purchase?"
63,What region is the SMA Negeri 68 of the city where Djatikoesoemo died located in?
64,Where is the new island forming in the state where the twinned administrative body operates in the Okinawa Prefecture?
65,What race was the majority of the population of the country Paya Lebar is from?
66,"When did the country where the village of Clonbrook is located, become a member of CARICOM?"
67,what is the size of the continent the Kvaevenutane Peaks are located in?
68,Who was the top man where Sante Cattaneo died?
69,Who is the president of the country where Stephen Worgu is a citizen?
70,What percentage was the country where Bermúdez is located?
71,When did the performer of Baby Grand play at Shea Stadium?
72,When was free education introduced in the country where Robin Tampoe was born?
73,When was the Muslim conquest of the area where the screening was prevented?
74,Who is charge of the city where Pietro Gnocchi died?
75,What is the birthplace of the writer of the song Say You Won't Let Go?
76,When does monsoon season occur in the city where Krishna Levy was born?
77,What is the administrative territory where Russell Maliphant's place of birth is found?
78,"Prior to the Euro, what was the currency in the country where TEHO originated?"
79,Who made Liang Congjie's birthplace his capital?
80,"During the Karabakh war, how many people died as a result of the fighting between Armenia and the country where the village of Qurbanəfəndi is located?"
81,Who was pivotal in the US actions that led to the annexation of what today is the state where Magnum PI is filmed?
82,"At June 1985's Consumer Electronics Show, on what date did the publisher of EarthBound unveil its new systems?"
83,What are the nationality and profession of the man with the highest assist in UCL history?
84,"What institution was established for management development, in the country that the entertainer Harrysong is from?"
85,Who wrote the pledge of allegiance for the country where a Bahamas Ministry of Tourism and Aviation operates?
86,What show helped launch the career of the Blown Away performer?
87,Who was fathered by the singer on Recorded as Jerry Landis?
88,What new residential powers did Dale Cooper's employer have?
89,In what language was the film whose title describes getting a kiss from a person who starred in The Hoodlum?
90,Who is the spouse of the original singer of My Way?
91,What is the population of Utica in the state where Kelly Round Barn is located?
92,What is the salary of the governor in the state Harrah's Casino Tunica is located?
93,"In the country that includes Al-Damiri, when was the wheel first used?"
94,Who is the spouse of the performer of the album Kati Simveni?
95,When did the writer who liked to visit Cheshire Cheese and the Prospect of Whitby pen his last work?
96,When was the first attempt of a coup in the capital city of the democratic republic of the Congo?
97,What is the language of the film A Kiss from the producer of Less Than the Dust?
98,Who was in charge of the country beaten at the Battle of Kosovo?
99,Where is the university related to Ian Ballantine located?
100,Clayton is located in this county in the state where the Glick-Sower House is located.
101,Humboldt Peak in the state where Medical Center of the Rockies is located is part of what mountain range?
102,"What was the release date of Flatline, by the performer of Turn to You?"
103,What is the rank of the GDP of the country in Africa whose capital is Abuja?
104,Where are the San Juan Mountains in the state William Hanna was born?
105,Since what time has the iPod manufacturer remained profitable?
106,Who is the general treasurer of the state Mike Cerrone was born in?
107,Where do the large A380 go after transfer to the birthplace of Jean-René Saulière?
108,"Who was the screenwriter of the film about, and titled after, the place of death of Te-ongsi Sirijunga Xin Thebe?"
109,When did the iPhone 6 by the developer of Proapp come out?
110,Who won the 2018 election in the country known for Nasi kerabu?
111,Who does vocals on Money by the band that performed Up the Khyber?
112,Whose father performed #9 Dream?
113,What's the population of the Florida county where the city of South Pasadena is located?
114,Where is the coach from the owner of The Venue at UCF going?
115,What is the name of the river that runs through the city encompassing Children Without?
116,Who was in charge of the city where August Bloedner died?
117,What time is considered the Modern Period in the country Gukhwappang is from?
118,"Who did the 49ers, from the city where Time After Time was filmed, lose to in Super Bowl XLVII?"
119,What is the mean income in Belvedere Island's county?
120,Who was the manager when the team that employed Ryan Bertrand won Champion's League?
121,"What county houses the community of Robinson, in the state where Tom Harkin was from?"
122,What was the school Al Hutchinson attended originally called?
123,Who led the US movement to take over the island where Arnond Vongvanij was born?
124,What is a language spoken by the director of Thalattu Ketkuthamma?
125,How old do you have to be to buy a handgun in the state where the 49ers quarterback went to college?
126,What is the record label for the artist who sang Take Good Care of My Baby in 1961?
127,Who does the performer of Nothin' to Die For play in Country Strong?
