qid,question_text
0,What is Henry Feilden's occupation?
1,What is Herlyn Espinal's occupation?
2,What is Edward Corser's occupation?
3,What is John Finlay's occupation?
4,What is Bruce McDaniel's occupation?
5,What is Edwin Wallock's occupation?
6,What is Matthew McKay's occupation?
7,What is Dominick Bellizzi's occupation?
8,What is Ole Krarup's occupation?
9,What is Antonio Álvarez Alonso's occupation?
10,What is Boutheina Jabnoun's occupation?
11,What is Derek Wheatley's occupation?
12,What is Herman A. Barnett's occupation?
13,What is Modou Dia's occupation?
14,What is Jon Eikemo's occupation?
15,What is Marco Ameglio's occupation?
16,What is Valgerður Bjarnadóttir's occupation?
17,What is Russell Stokes's occupation?
18,What is Jim Brown's occupation?
19,What is Edwin E. Ellis's occupation?
20,What is Muhammad Ali Luqman's occupation?
21,What is Ivo Perilli's occupation?
22,What is Rinaldo del Mel's occupation?
23,What is Annie Beustes's occupation?
24,What is Kazuyoshi Sekine's occupation?
25,What is Domingo Eyzaguirre's occupation?
26,What is Charles Harrison's occupation?
27,What is Richard Harris's occupation?
28,What is Peter Murnoy's occupation?
29,What is James M. Geraghty's occupation?
30,What is Michael Hutchings's occupation?
31,What is James Alex Msekela's occupation?
32,What is Masayoshi Nataniya's occupation?
33,What is Ernst Timme's occupation?
34,What is Ludwig Lichtschein's occupation?
35,What is Władysław Sławny's occupation?
36,What is Walter Köbel's occupation?
37,What is John Barnes's occupation?
38,What is Adil Shamoo's occupation?
39,What is Patrick Mulvany's occupation?
40,What is Arcangelo Ghisleri's occupation?
41,What is Giora Godik's occupation?
42,What is Thomas Challis's occupation?
43,What is Christopher Butson's occupation?
44,What is Rich Brightman's occupation?
45,What is Franz Seitz Sr.'s occupation?
46,What is Frederick Dundas's occupation?
47,What is Olav T. Laake's occupation?
48,What is Eliza Lawrence's occupation?
49,What is Charles Combe's occupation?
50,What is John D. Maurice's occupation?
51,What is Raymond S. Burton's occupation?
52,What is Ernst Theodor Echtermeyer's occupation?
53,What is Debra Weeks's occupation?
54,What is Bedřich Feigl's occupation?
55,What is Edward Gunasekara's occupation?
56,What is David M. Westcott's occupation?
57,What is J. Da Silva's occupation?
58,What is Carsten Carlsen's occupation?
59,What is Fritz Goos's occupation?
60,What is Alexander Gadolin's occupation?
61,What is Levi P. Powers's occupation?
62,What is John Strange's occupation?
63,What is Walter de la Pole's occupation?
64,What is Kyaw Swe's occupation?
65,What is Paul Caillaud's occupation?
66,What is Bridie O'Flaherty's occupation?
67,What is Ivan Kulichenko's occupation?
68,What is Giuseppe Demachi's occupation?
69,What is E. David Redwine's occupation?
70,What is Kyriakos Mavronikolas's occupation?
71,"What is John Blake, Jr.'s occupation?"
72,What is Mami Matsui's occupation?
73,What is Marie-France Mignal's occupation?
74,What is Andreas Rüdiger's occupation?
75,What is Robert Lewis's occupation?
76,What is Guillem Ramon de Gironella's occupation?
77,What is Alan Mauritz Swanson's occupation?
78,What is Harvey William Burk's occupation?
79,What is Jörg A. Eggers's occupation?
80,What is Petru Vlah's occupation?
81,What is Pierre Abraham's occupation?
82,What is Elvin Penner's occupation?
83,What is Rodrigo Arocena's occupation?
84,What is Fidel Antuña Batista's occupation?
85,What is Thomas Gifford's occupation?
86,What is Pietro Marcenaro's occupation?
87,What is William Australia Graham's occupation?
88,What is Richard Myers's occupation?
89,What is Frits Castricum's occupation?
90,What is Per Risvik's occupation?
91,What is Alan Bjerga's occupation?
92,What is Rose Beaudet's occupation?
93,What is Jean Gabriel Marie's occupation?
94,What is George Birnie Esslemont's occupation?
95,What is Shorty Hamilton's occupation?
96,What is Nandor Balazs's occupation?
97,What is Maurice Le Boucher's occupation?
98,What is T. P. Poonatchi's occupation?
99,What is René Bégin's occupation?
100,What is Robert Jonckheere's occupation?
101,What is Arafan Camara's occupation?
102,What is George Lewis's occupation?
103,What is Louis O'Dea's occupation?
104,What is Derek Ingram Hill's occupation?
105,What is Sebaki Devi Das Tatma's occupation?
106,What is Howard Fowles's occupation?
107,What is Julia de Asensi's occupation?
108,What is Đurđa Ivezić's occupation?
109,What is Thomas Widdrington's occupation?
110,What is Jean-Marie-Victor Viel's occupation?
111,What is Virginia Haviland's occupation?
112,What is Frances Josephy's occupation?
113,What is John Williams Tobey's occupation?
114,What is Jorge Traverso's occupation?
115,What is Paolo Pellizzari's occupation?
116,What is Petr Mlsna's occupation?
117,What is Lorena Corona Valdés's occupation?
118,"What is Sir Thomas Clarges, 3rd Baronet's occupation?"
119,What is Donald Robert Macgregor's occupation?
120,What is Clement Baker's occupation?
121,In what city was Belarmino Mario Chipongue born?
122,In what city was Charles Hammock born?
123,In what city was Izhar Elias born?
124,In what city was Roger McCardell born?
125,In what city was Antonio Calcagni born?
126,In what city was Philipp Crone born?
127,In what city was I.P. Paul born?
128,In what city was Endre Bálint born?
129,In what city was Aleksandr Nekrasov born?
130,In what city was Andrian Mardiansyah born?
131,In what city was Bert Myers born?
132,In what city was Scott Fraser born?
133,In what city was Giuseppe Castelli born?
134,In what city was Harold Reetz born?
135,In what city was Fernand Cornez born?
136,In what city was Volodymyr O. Kravets born?
137,In what city was Yinka Ayenuwa born?
138,In what city was Phil Williams born?
139,In what city was James M. Bingham born?
140,In what city was Gustavo Grondona born?
141,In what city was Ricardo Maliandi born?
142,In what city was Annika Billstam born?
143,In what city was Eric Defoort born?
144,In what city was Reinaldo Dalcin born?
145,In what city was Bob Cremins born?
146,In what city was Greg Windsperger born?
147,In what city was Matt Moralee born?
148,In what city was Lloyd Ultan born?
149,In what city was Ivan Khomukha born?
150,In what city was Bob Warlick born?
151,In what city was Clarence Beck born?
152,In what city was Aloïs Boudry born?
153,In what city was Tony Shields born?
154,In what city was Amoene van Haersolte born?
155,In what city was Jim Baker born?
156,In what city was Pete Stewart born?
157,In what city was Piotr Balcerzak born?
158,In what city was Mariano Chao born?
159,In what city was John Edgerton born?
160,In what city was Jim born?
161,In what city was James Brown born?
162,In what city was Andrea di Alessandro born?
163,In what city was Gregorio Selser born?
164,In what city was Anne Brusletto born?
165,In what city was Arthur Thomson born?
166,In what city was Miloš Žeravica born?
167,In what city was Giovanni Speranza born?
168,In what city was Anton Lui born?
169,In what city was Paul Walker born?
170,In what city was Kristian Outinen born?
171,In what city was Matthijs Dulken born?
172,In what city was Sebastian Hofmann born?
173,In what city was Emil Marschalk von Ostheim born?
174,In what city was Esau Tjiuoro born?
175,In what city was Gerard Thomas born?
176,In what city was Ricardo Sánchez born?
177,In what city was Bruno Nöckler born?
178,In what city was Gloria Porras Valles born?
179,In what city was Klaus-Degenhard Schmidt born?
180,In what city was Robert B. Scarborough born?
181,In what city was Dilson Torres born?
182,In what city was Ray Strauss born?
183,In what city was Robert Zawada born?
184,In what city was John A. Shaud born?
185,In what city was Gianni Lonzi born?
186,In what city was Maksim Andreyevich Fyodorov born?
187,In what city was Scott McCuaig born?
188,In what city was Louis-Arsène Lavallée born?
189,In what city was Clemente Isnard born?
190,In what city was Dale Polley born?
191,In what city was Robert Crannell Minor born?
192,In what city was Izumi Iimura born?
193,In what city was Aleksandar Madžar born?
194,In what city was Roland Wieser born?
195,In what city was Doc Parker born?
196,In what city was Giovanni Stefano Marucelli born?
197,In what city was Matt Hamilton born?
198,In what city was William Perry Hay born?
199,In what city was John Robinson born?
200,In what city was Anders Orvin born?
201,In what city was Florence Marie Harsant born?
202,In what city was Diana Estrada born?
203,In what city was Terry Hunte born?
204,In what city was Steve McDonald born?
205,In what city was Izaskun Zubizarreta Gerendiain born?
206,In what city was Grant Bramwell born?
207,In what city was Valentin Avrorin born?
208,In what city was Aleksandar Markovski born?
209,In what city was Tsugumi Higasayama born?
210,In what city was Hansi Niese born?
211,In what city was Raimonds Vilde born?
212,In what city was Nay Myo Thant born?
213,In what city was Aarno Maliniemi born?
214,In what city was Charles Plumer born?
215,In what city was Moon Joo-won born?
216,In what city was Leobardo Soto born?
217,In what city was Masaru Inada born?
218,In what city was Pierre Petit born?
219,In what city was Billy Carlson born?
220,In what city was Abraham Raimbach born?
221,In what city was H. Hugh Bancroft born?
222,In what city was Nina Dittrich born?
223,In what city was Gary Freear born?
224,In what city was Paweł Blehm born?
225,In what city was Keri Lees born?
226,In what city was Christos Mitsis born?
227,In what city was Robin Williams born?
228,In what city was John Keating born?
229,In what city was Jurgis Karnavičius born?
230,In what city was Xue Fei born?
231,In what city was Din Joe Crowley born?
232,In what city was Joachim Zachris Duncker born?
233,In what city was Paul Braniff born?
234,In what city was Scott Patterson born?
235,In what city was Emmanuel Biron born?
236,In what city was Yugo Yoshida born?
237,In what city was Montxu Miranda born?
238,In what city was Juha Jokela born?
239,In what city was Richard S. Bull born?
240,In what city was Maurice Reymond de Broutelles born?
241,In what city was Juan Manuel Montero Vázquez born?
242,In what city was Evan Abraham born?
243,In what city was Carlos Nieto born?
244,In what city was Andy Keeley born?
245,In what city was Fernando García born?
246,In what city was William Franklin Switzler born?
247,In what city was György Kárpáti born?
248,In what city was Szymon Kataszek born?
249,In what city was David Granger born?
250,In what city was John Mant born?
251,In what city was Andrea Magi born?
252,In what city was Shagari Mohammed born?
253,In what city was Frederick Mackenzie born?
254,In what city was Gyula Czimra born?
255,In what city was Catherine Tishem born?
256,In what city was Jiří Vyčichlo born?
257,In what city was Jesús Antonio Hernández born?
258,In what city was Gerhard Ludwig born?
259,In what city was Gaston-François de Witte born?
260,In what city was Farman Behboud born?
261,In what city was Francisco María Oreamuno Bonilla born?
262,In what city was Martin Simonson born?
263,In what city was Mimoun Ouled Radi born?
264,In what city was Anthony Gale born?
