qid,question_text,methodA_id,methodB_id,methodA_text,methodB_text,scoreA,scoreB,pair_label,best_methods_json,num_best_methods,is_tied_best
0,What is the current home arena of the NHL team Chris Summers plays for?,dalk,hippo,"[CLS]
Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: dalk
[SEP]","[CLS]
Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: hippo
[SEP]",0.3529411765,1.0,0,"[""hippo""]",1,False
0,What is the current home arena of the NHL team Chris Summers plays for?,hippo,gr,"[CLS]
Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: hippo
[SEP]","[CLS]
Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: gr
[SEP]",1.0,0.0869565217,1,"[""hippo""]",1,False
0,What is the current home arena of the NHL team Chris Summers plays for?,hippo,lgraph,"[CLS]
Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: hippo
[SEP]","[CLS]
Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: lgraph
[SEP]",1.0,0.0,1,"[""hippo""]",1,False
0,What is the current home arena of the NHL team Chris Summers plays for?,hippo,light,"[CLS]
Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: hippo
[SEP]","[CLS]
Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: light
[SEP]",1.0,0.1,1,"[""hippo""]",1,False
0,What is the current home arena of the NHL team Chris Summers plays for?,qagn,hippo,"[CLS]
Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: qagn
[SEP]","[CLS]
Question: What is the current home arena of the NHL team Chris Summers plays for?
Method: hippo
[SEP]",0.3529411765,1.0,0,"[""hippo""]",1,False
1,One of the members of Dru Hill is nicknamed after which cartoon character?,gr,dalk,"[CLS]
Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: gr
[SEP]","[CLS]
Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: dalk
[SEP]",0.0,1.0,0,"[""dalk""]",1,False
1,One of the members of Dru Hill is nicknamed after which cartoon character?,hippo,dalk,"[CLS]
Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: hippo
[SEP]","[CLS]
Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: dalk
[SEP]",0.4444444444,1.0,0,"[""dalk""]",1,False
1,One of the members of Dru Hill is nicknamed after which cartoon character?,dalk,lgraph,"[CLS]
Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: dalk
[SEP]","[CLS]
Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: lgraph
[SEP]",1.0,0.5,1,"[""dalk""]",1,False
1,One of the members of Dru Hill is nicknamed after which cartoon character?,dalk,light,"[CLS]
Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: dalk
[SEP]","[CLS]
Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: light
[SEP]",1.0,0.5,1,"[""dalk""]",1,False
1,One of the members of Dru Hill is nicknamed after which cartoon character?,dalk,qagn,"[CLS]
Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: dalk
[SEP]","[CLS]
Question: One of the members of Dru Hill is nicknamed after which cartoon character?
Method: qagn
[SEP]",1.0,0.5,1,"[""dalk""]",1,False
2,"The Order of th elithuanian Grand Duke Gediminas features one of the earliest symbols of Lithuania, that was used by the Lithuanian Republic as a minor state symbol during what period?",hippo,dalk,"[CLS]
Question: The Order of th elithuanian Grand Duke Gediminas features one of the earliest symbols of Lithuania, that was used by the Lithuanian Republic as a minor state symbol during what period?
Method: hippo
[SEP]","[CLS]
Question: The Order of th elithuanian Grand Duke Gediminas features one of the earliest symbols of Lithuania, that was used by the Lithuanian Republic as a minor state symbol during what period?
Method: dalk
[SEP]",0.9411764706,0.0,1,"[""hippo""]",1,False
2,"The Order of th elithuanian Grand Duke Gediminas features one of the earliest symbols of Lithuania, that was used by the Lithuanian Republic as a minor state symbol during what period?",gr,hippo,"[CLS]
Question: The Order of th elithuanian Grand Duke Gediminas features one of the earliest symbols of Lithuania, that was used by the Lithuanian Republic as a minor state symbol during what period?
Method: gr
[SEP]","[CLS]
Question: The Order of th elithuanian Grand Duke Gediminas features one of the earliest symbols of Lithuania, that was used by the Lithuanian Republic as a minor state symbol during what period?
Method: hippo
[SEP]",0.0,0.9411764706,0,"[""hippo""]",1,False
