qid,question_text
0,Which country the director of film Lilli'S Marriage is from?
1,"What is the place of birth of the director of film I Love, You Love?"
2,Where was the place of death of the director of film Gold And The Woman?
3,What is the place of birth of the director of film Lăutarii?
4,What nationality is Archduke Leopold Salvator Of Austria's father?
5,Where was the director of film Father And The Boys born?
6,Where did the composer of film Onappudava die?
7,Where was the place of death of Naïma Ben Ali's husband?
8,What nationality of the company that published Prague Papers On The History Of International Relations?
9,Where does the director of film Triple Agent work at?
10,What is the award that the director of film Footy Legends won?
11,Where was the place of death of the director of film Basta Guardarla?
12,Where was the director of film Mister Scarface born?
13,Where does the director of film Love In The Afternoon (1972 Film) work at?
14,When did the director of film The General Line die?
15,What is the cause of death of Joan Of England (1335–1348)'s mother?
16,"Where was the place of death of Engelbert I, Count Of Berg's father?"
17,When did Cezaria Jędrzejewiczowa's father die?
18,What is the place of birth of the director of film My Country'S Wings?
19,Where does the director of film Gallopin' Gals work at?
20,Who is the spouse of the performer of song Burnin' Up (Faith Evans Song)?
21,Where did the director of film Walkover (Film) graduate from?
22,Where was the place of death of Ankhesenamun's mother?
23,What is the place of birth of the director of film Hikikomori: Tokyo Plastic?
24,What is the place of birth of the director of film Thrilling Youth?
25,What is the place of birth of the director of film The Death Dance?
26,What nationality is Noemie Fox's mother?
27,Who is the father of the director of film Red 2 (Film)?
28,Which country the performer of song What You Need From Me is from?
29,Where was the director of film Alaska.De born?
30,What is the date of death of Timothy Shriver's father?
31,When did Prince Alexander Romanov's father die?
32,Where did Saw Thanda's husband die?
33,What is the place of birth of the composer of song Bullet (Misfits Song)?
34,Where was the place of death of the director of film Girl Loves Boy?
35,Where was the director of film Tremors 4: The Legend Begins born?
36,What is the place of birth of Hibbert Newton Binney's father?
37,"Which country Maria Of Portugal, Duchess Of Viseu's mother is from?"
38,Who is the spouse of the director of film The Deserter'S Wife?
39,What nationality is Phintys's father?
40,"When did Albert Ii, Prince Of Monaco's mother die?"
41,What is the place of birth of Lorenza Agoncillo's mother?
42,What nationality is Isabelle Coutant-Peyre's husband?
43,Where did Elizabeth Tudor (1492–1495)'s mother die?
44,What is the place of birth of David Lee Child's wife?
45,"When is Philip Ii, Margrave Of Baden-Baden's mother's birthday?"
46,What is the place of birth of Marie De Valois's father?
47,Where was the place of death of the director of film Las Tecnologías Pesqueras?
48,Who is the spouse of the performer of song Cien Años?
49,Which award the director of film Jo Jeeta Wohi Sikandar received?
50,What nationality is the director of film Astronauts Gone Wild?
51,Where was the husband of Emibai Jinnah born?
52,Where was the wife of Francis I Rákóczi born?
53,Where was the director of film Pay Box Adventure born?
54,Where does the director of film Academy Of Doom work at?
55,What is the place of birth of the performer of song Slow Down (Lacy J. Dalton Song)?
56,What is the place of birth of the director of film Blues Metropolitano?
57,Where was the place of death of Johanna Sibylla Of Hanau-Lichtenberg's mother?
58,Who is the spouse of the director of film Ann Carver'S Profession?
59,When is Bakaffa's father's birthday?
60,Where was the place of burial of the performer of song Honky-Tonk Man?
61,What is the award that the director of film Hyderabad Blues 2 got?
62,What is the award that the performer of song The Attitude Song won?
63,Where was the director of film Sju Svarta Be-Hå born?
64,Where was the place of death of the director of film The Beautiful Otero?
65,Where was the director of film Nights In Andalusia born?
66,What is the place of birth of the performer of song Changed It?
67,"When did Edmund Grey, 1St Earl Of Kent's father die?"
68,When was the company that published The Miscellany News founded?
69,Where did the director of film Out Of The Fog (1919 Film) die?
70,What is the place of birth of Áine Furey's father?
71,When was Gerald Drummond (Athlete)'s father born?
72,Which country the director of film Sarah Silverman: Jesus Is Magic is from?
73,What is the place of birth of the composer of film Tana (Film)?
74,"Where was the mother of Theresa Of Portugal, Queen Of León born?"
75,What nationality is the director of film No Tomorrow (Film)?
76,Where did the director of film The Black Star (Film) die?
77,Where was the performer of song Oceania (Song) born?
78,"When did Leka, Crown Prince Of Albania (Born 1982)'s mother die?"
79,Where was the place of death of Christiane Eberhardine Of Brandenburg-Bayreuth's husband?
80,Who is the spouse of the director of film Bangla Bachao?
81,"Where was the place of death of Sir James Abercrombie, 1St Baronet's father?"
82,Where did Nello Rosselli's mother die?
83,What nationality is Ilghazi's father?
84,What nationality is Urania Mella Serrano's father?
85,What is the place of birth of the director of film Clowning Around?
